ts_utc,ons_usd,usdtry,gram_altin_buy,gram_altin_sell,gram_has_buy,gram_has_sell,ceyrek_buy,ceyrek_sell,usd_buy,usd_sell
2026-07-07T18:20:09.845421+00:00,4152.60009765625,46.830299377441406,6236.67,6237.41,6205.49,6206.22,10018.75,10249.98,46.8257,46.8382
2026-07-07T18:30:01.159951+00:00,4153.0,46.8307991027832,6236.67,6237.41,6205.49,6206.22,10018.75,10249.98,46.8257,46.8382
2026-07-07T19:03:42.457263+00:00,4137.10009765625,46.83089828491211,6213.25,6214.22,6182.19,6183.15,10018.75,10249.98,46.8238,46.8389
2026-07-07T20:28:54.455046+00:00,4119.7998046875,46.826698303222656,6192.76,6193.71,6161.8,6162.74,10018.75,10249.98,46.8231,46.8396
2026-07-07T21:56:45.700354+00:00,4116.60009765625,46.83639907836914,,,,,,,,
2026-07-07T23:08:11.086630+00:00,4108.60009765625,46.82310104370117,6171.5,6172.46,6140.64,6141.6,10018.75,10249.98,46.8143,46.8707
2026-07-08T00:12:15.051059+00:00,4108.7998046875,46.852298736572266,6173.63,6174.59,6142.76,6143.72,10018.75,10249.98,46.8491,46.863
2026-07-08T03:47:56.947953+00:00,4138.60009765625,46.843299865722656,6214.92,6215.82,6183.84,6184.74,10018.75,10249.98,46.847,46.8627
2026-07-08T06:30:27.923512+00:00,4139.7001953125,46.852699279785156,6222.04,6222.99,6190.93,6191.87,10018.75,10249.98,46.8559,46.8603
2026-07-08T09:14:46.663550+00:00,4065.699951171875,46.85380172729492,6110.96,6111.87,6080.41,6081.31,10018.75,10249.98,46.8542,46.8605
2026-07-08T11:19:42.211439+00:00,4059.199951171875,46.85200119018555,6102.14,6103.09,6071.63,6072.57,9801.3,10025.54,46.8555,46.8593
2026-07-08T13:06:53.322399+00:00,4085.39990234375,46.852298736572266,6134.13,6135.05,6103.46,6104.38,9841.07,10066.19,46.8515,46.863
2026-07-08T15:35:40.744928+00:00,4039.0,46.852298736572266,6072.43,6073.38,6042.06,6043.01,9828.1,10052.93,46.8566,46.8581
2026-07-08T17:12:33.695785+00:00,4070.89990234375,46.849098205566406,6121.71,6122.67,6091.1,6092.06,9828.1,10052.93,46.8531,46.8575
2026-07-08T18:48:07.614648+00:00,4084.800048828125,46.84989929199219,6144.28,6145.12,6113.56,6114.4,9828.1,10052.93,46.8501,46.856
2026-07-08T20:22:34.337364+00:00,4088.60009765625,46.845001220703125,6143.21,6143.93,6112.49,6113.21,9828.1,10052.93,46.8409,46.8505
2026-07-08T21:42:44.364812+00:00,4082.39990234375,46.852500915527344,6140.48,6141.55,6109.78,6110.84,9828.1,10052.93,46.8654,46.8781
2026-07-08T22:45:53.158701+00:00,4085.800048828125,46.84960174560547,6142.28,6143.23,6111.57,6112.52,9828.1,10052.93,46.8542,46.8781
2026-07-09T00:13:13.566386+00:00,4089.0,46.862701416015625,6142.26,6143.19,6111.55,6112.47,9828.1,10052.93,46.861,46.8848
2026-07-09T04:16:35.068417+00:00,4071.800048828125,46.861900329589844,6119.58,6120.48,6088.98,6089.88,9828.1,10052.93,46.8628,46.881
2026-07-09T08:01:11.608629+00:00,4118.7998046875,46.78499984741211,6190.88,6191.77,6159.93,6160.81,9828.1,10052.93,46.8708,46.879
2026-07-09T11:24:50.653537+00:00,4113.60009765625,46.873069763183594,6186.02,6186.88,6155.09,6155.94,9902.54,10131.18,46.8715,46.8786
2026-07-09T14:06:01.534673+00:00,4129.7001953125,46.86989974975586,6211.59,6212.46,6180.53,6181.4,9936.91,10164.15,46.8709,46.8788
2026-07-09T16:42:04.494639+00:00,4144.89990234375,46.8690185546875,6227.84,6228.61,6196.7,6197.47,9959.51,10187.25,46.8734,46.8781
2026-07-09T18:29:22.841101+00:00,4136.7998046875,46.86690139770508,6221.46,6222.3,6190.35,6191.19,9959.51,10187.25,46.8668,46.8732
2026-07-09T20:25:18.552437+00:00,4131.60009765625,46.864200592041016,6210.01,6210.92,6178.96,6179.86,9959.51,10187.25,46.8661,46.8747
2026-07-09T21:59:30.369993+00:00,4132.60009765625,46.95280075073242,6223.5,6225.12,6192.38,6193.99,9959.51,10187.25,46.927,46.9781
2026-07-09T23:22:03.733239+00:00,4132.89990234375,46.94340133666992,6225.55,6226.46,6194.42,6195.32,9959.51,10187.25,46.94,46.9768
2026-07-10T01:10:34.437849+00:00,4138.10009765625,46.94919967651367,6229.69,6230.65,6198.54,6199.5,9959.51,10187.25,46.9403,46.9808
2026-07-10T05:09:41.715944+00:00,4123.89990234375,46.92559814453125,6214.28,6215.2,6183.2,6184.12,9959.51,10187.25,46.9542,46.9857
2026-07-10T08:42:14.499715+00:00,4112.7998046875,46.979801177978516,6199.49,6200.35,6168.49,6169.35,9959.51,10187.25,46.9758,46.9933
2026-07-10T11:35:30.487066+00:00,4116.7001953125,46.979801177978516,6195.97,6196.81,6164.99,6165.83,9895.01,10121.32,46.9789,46.9907
2026-07-10T13:45:17.843077+00:00,4099.89990234375,46.983360290527344,,,,,,,,
2026-07-10T16:09:08.312010+00:00,4122.2998046875,46.97919845581055,6212.3,6213.28,6181.24,6182.21,9887.48,10113.63,46.9829,46.9862
2026-07-10T18:02:07.970104+00:00,4113.2001953125,46.979801177978516,6193.64,6194.62,6162.67,6163.65,9887.48,10113.63,46.9751,46.9883
2026-07-10T19:53:02.746067+00:00,4111.89990234375,46.977901458740234,6196.07,6197.12,6165.09,6166.13,9887.48,10113.63,46.9739,46.986
2026-07-10T21:08:11.051093+00:00,4128.2001953125,46.96269989013672,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9538,46.9986
2026-07-10T22:16:57.166976+00:00,4128.89990234375,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-10T23:30:21.950232+00:00,4128.89990234375,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T01:10:02.260588+00:00,4128.89990234375,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T04:29:32.938168+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T06:39:04.223804+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T08:29:36.561289+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T10:03:50.541428+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T11:19:47.273370+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T12:29:26.043471+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T14:04:06.801597+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T15:16:42.974683+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T16:26:05.349827+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T17:31:11.589383+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T18:36:36.388117+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T19:52:40.910466+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T20:52:34.323623+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T21:52:40.749258+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T22:52:48.802504+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-11T23:57:53.772938+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T03:44:20.769117+00:00,4104.10009765625,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T06:21:41.102101+00:00,4113.7001953125,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T08:39:20.150450+00:00,4113.7001953125,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T10:15:10.792568+00:00,4113.7001953125,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T11:34:21.024033+00:00,4113.7001953125,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T12:39:31.926125+00:00,4113.7001953125,46.977500915527344,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T14:15:41.918297+00:00,4113.7001953125,46.96269989013672,,,,,,,,
2026-07-12T15:33:56.724732+00:00,4113.7001953125,46.96269989013672,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T16:40:23.155454+00:00,4113.7001953125,46.96269989013672,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T17:43:30.036766+00:00,4113.7001953125,46.98040008544922,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T18:40:04.744254+00:00,4113.7001953125,46.979400634765625,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T19:52:48.288887+00:00,4113.7001953125,46.9807014465332,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T20:53:17.160282+00:00,4113.7001953125,46.645301818847656,6224.7,6225.55,6193.58,6194.42,9887.48,10113.63,46.9424,47.0434
2026-07-12T21:54:28.196462+00:00,4113.7001953125,46.645301818847656,6188.42,6189.26,6157.48,6158.31,9909.82,10138.61,46.4063,47.0317
2026-07-12T22:53:00.413223+00:00,4085.800048828125,46.81930160522461,6147.89,6148.84,6117.87,6118.81,9909.82,10138.61,46.7056,47.0677
2026-07-12T23:57:49.408768+00:00,4084.699951171875,46.9911994934082,,,,,,,,
2026-07-13T03:47:04.926276+00:00,4065.0,46.99599838256836,6131.04,6131.95,6100.39,6101.29,9909.82,10138.61,46.9851,47.0141
2026-07-13T06:56:10.195164+00:00,4067.39990234375,46.99769973754883,6135.75,6136.66,6105.07,6105.98,9909.82,10138.61,46.9935,47.0096
2026-07-13T10:31:32.421015+00:00,4076.5,46.996498107910156,6142.51,6143.37,6111.8,6112.65,9829.36,10056.37,46.9989,47.0033
2026-07-13T13:05:47.645560+00:00,4074.300048828125,46.99290084838867,6145.42,6146.41,6114.7,6115.67,9814.27,10038.8,46.9909,47.0037
2026-07-13T15:57:18.357982+00:00,4019.89990234375,46.99810028076172,6064.51,6065.45,6034.19,6035.12,9776.92,10000.64,46.9952,47.0095
2026-07-13T18:01:57.425291+00:00,4001.699951171875,46.992698669433594,6033.72,6034.52,6003.55,6004.34,9776.92,10000.64,46.9987,47.0029
2026-07-13T19:50:06.387123+00:00,4002.300048828125,46.99660110473633,6042.53,6043.5,6012.32,6013.28,9776.92,10000.64,46.9939,47.0057
2026-07-13T20:59:01.657068+00:00,4006.60009765625,47.00619888305664,6044.18,6045.08,6013.95,6014.86,9776.92,10000.64,46.999,47.0036
2026-07-13T22:03:28.358883+00:00,4008.699951171875,46.957298278808594,6046.33,6047.62,6016.1,6017.38,9776.92,10000.64,46.9309,47.0719
2026-07-13T23:14:09.299599+00:00,4008.199951171875,47.00408172607422,6049.63,6050.59,6019.39,6020.33,9776.92,10000.64,47.0144,47.0343
2026-07-14T00:10:05.024548+00:00,4008.699951171875,47.02130126953125,6050.09,6051.0,6019.84,6020.74,9776.92,10000.64,47.0155,47.0398
2026-07-14T03:34:54.889598+00:00,4022.89990234375,47.016998291015625,6075.65,6076.56,6045.27,6046.18,9776.92,10000.64,47.0277,47.0464
2026-07-14T05:57:31.171932+00:00,4036.60009765625,47.01919937133789,6096.57,6097.51,6066.09,6067.02,9776.92,10000.64,47.0243,47.0488
2026-07-14T08:22:33.886402+00:00,4023.5,47.03200149536133,6074.03,6074.99,6043.66,6044.61,9776.92,10000.64,47.03,47.0448
2026-07-14T10:17:25.958210+00:00,4026.199951171875,46.952999114990234,6076.19,6077.05,6045.81,6046.67,9726.87,9949.49,47.0315,47.0431
2026-07-14T11:55:21.776257+00:00,4034.699951171875,47.006900787353516,6091.39,6092.26,6060.93,6061.8,9735.4,9960.32,47.0357,47.04
2026-07-14T13:49:47.903825+00:00,4093.0,47.032100677490234,6182.03,6182.95,6151.12,6152.04,9856.62,10089.82,47.0316,47.0429
2026-07-14T15:24:53.662768+00:00,4097.7001953125,47.0275993347168,6185.19,6186.15,6154.27,6155.22,9841.51,10076.52,47.0325,47.0402
2026-07-14T16:46:15.501793+00:00,4068.10009765625,47.03219985961914,6140.38,6141.19,6109.67,6110.49,9841.51,10076.52,47.0267,47.0426
2026-07-14T18:05:58.269841+00:00,4069.5,47.028900146484375,6142.3,6143.07,6111.59,6112.36,9841.51,10076.52,47.0279,47.0348
2026-07-14T19:43:26.814216+00:00,4056.10009765625,47.02880096435547,6126.28,6127.24,6095.65,6096.6,9841.51,10076.52,47.0263,47.0382
2026-07-14T20:45:15.733984+00:00,4058.199951171875,47.029598236083984,,,,,,,,
2026-07-14T21:41:20.739564+00:00,4058.300048828125,47.02410125732422,6122.65,6123.67,6092.03,6093.06,9841.51,10076.52,46.9511,47.0582
2026-07-14T22:40:55.158598+00:00,4058.10009765625,47.013999938964844,6123.28,6124.41,6092.66,6093.79,9841.51,10076.52,46.9958,47.0232
2026-07-14T23:35:50.999808+00:00,4057.5,47.02439880371094,6127.58,6128.53,6096.94,6097.89,9841.51,10076.52,47.0205,47.0304
2026-07-15T01:01:41.903033+00:00,4061.60009765625,47.01729965209961,,,,,,,,
2026-07-15T04:17:20.084414+00:00,4036.5,47.0275993347168,6095.97,6096.67,6065.49,6066.18,9841.51,10076.52,47.0214,47.0379
2026-07-15T06:36:35.222570+00:00,4033.89990234375,47.027099609375,6086.89,6087.63,6056.45,6057.19,9841.51,10076.52,47.0246,47.0339
2026-07-15T09:00:57.417621+00:00,4035.60009765625,47.027469635009766,6095.01,6095.88,6064.53,6065.4,9841.51,10076.52,47.0269,47.033
2026-07-15T11:02:11.931011+00:00,4034.10009765625,47.029659271240234,,,,,,,,
2026-07-15T12:43:12.467711+00:00,4060.199951171875,47.027400970458984,6108.25,6109.17,6077.71,6078.63,9781.86,10005.69,47.0286,47.0341
2026-07-15T14:29:17.489849+00:00,4069.199951171875,47.0289192199707,6144.89,6145.83,6114.17,6115.1,9831.0,10058.05,47.0251,47.0356
2026-07-15T16:06:39.216050+00:00,4054.39990234375,47.024600982666016,6119.03,6119.84,6088.44,6089.24,9831.0,10058.05,47.0284,47.032
2026-07-15T17:39:31.356693+00:00,4052.300048828125,47.02510070800781,6119.87,6120.85,6089.27,6090.25,9831.0,10058.05,47.0281,47.035
2026-07-15T18:46:33.411160+00:00,4080.10009765625,47.02560043334961,6151.01,6151.91,6120.26,6121.15,9831.0,10058.05,47.029,47.0358
2026-07-15T20:11:46.623406+00:00,4062.300048828125,47.025901794433594,6132.98,6133.89,6102.32,6103.22,9831.0,10058.05,47.0269,47.0338
2026-07-15T21:16:24.930946+00:00,4066.89990234375,47.02370071411133,6140.42,6141.36,6109.72,6110.65,9831.0,10058.05,47.0176,47.0665
2026-07-15T22:30:58.493007+00:00,4069.60009765625,47.02750015258789,6140.49,6141.43,6109.79,6110.72,9831.0,10058.05,46.9799,47.1053
2026-07-15T23:41:40.408528+00:00,4063.10009765625,47.02289962768555,,,,,,,,
2026-07-16T01:09:51.873151+00:00,4051.10009765625,47.031288146972656,6117.48,6118.45,6086.89,6087.85,9831.0,10058.05,47.0314,47.0548
2026-07-16T04:26:51.439291+00:00,4040.699951171875,47.031898498535156,6105.68,6106.5,6075.15,6075.97,9831.0,10058.05,47.0369,47.0526
2026-07-16T07:02:57.392841+00:00,4034.10009765625,46.974998474121094,6098.0,6098.97,6067.51,6068.47,9831.0,10058.05,47.0491,47.0615
2026-07-16T09:28:31.442838+00:00,4041.39990234375,47.05179977416992,6107.11,6108.04,6076.57,6077.5,9764.66,9988.11,47.0507,47.0602
2026-07-16T11:19:27.051352+00:00,4034.0,46.974998474121094,6093.08,6093.96,6062.62,6063.49,9745.4,9968.42,47.0487,47.0614
2026-07-16T13:01:21.097827+00:00,4004.60009765625,47.04909896850586,6040.93,6041.85,6010.72,6011.64,9683.59,9907.35,47.0487,47.0608
